LJ0001|پیش خدمت ہے|پیش خدمت ہے
LJ0002|سادت حسن منٹو کا افسانہ|سادت حسن منٹو کا افسانہ
LJ0003|بابو گوپی ناد|بابو گوپی ناد
LJ0004|بابو گوپی نات سے میری ملاقات سن چالیس میں ہوئی|بابو گوپی نات سے میری ملاقات سن چالیس میں ہوئی
LJ0005|ان دنوں میں بمبئی کا ایک ہفتہ وارت|ان دنوں میں بمبئی کا ایک ہفتہ وارت
LJ0006|پرچہ ایڈٹ کیا کرتا تھا|پرچہ ایڈٹ کیا کرتا تھا
LJ0007|دفتر میں عبد الرحیم سینڈو ایک ناٹک ادھ کے آدمی کے ساتھ داخل ہوا میں اس وقت لیڈر لکھ رہا تھا|دفتر میں عبد الرحیم سینڈو ایک ناٹک ادھ کے آدمی کے ساتھ داخل ہوا میں اس وقت لیڈر لکھ رہا تھا
LJ0008|سینڈو نے اپنے مخصوص انداز میں با آواز بلند مجھے آداب کہا|سینڈو نے اپنے مخصوص انداز میں با آواز بلند مجھے آداب کہا
LJ0009|اور اپنے ساتھی سے متعارف کرایا|اور اپنے ساتھی سے متعارف کرایا
LJ0010|منٹو صاحب|منٹو صاحب
LJ0011|بابو گوپی نات سے ملیے|بابو گوپی نات سے ملیے
LJ0012|میں نے اٹھ کر اس سے ہاتھ ملایا|میں نے اٹھ کر اس سے ہاتھ ملایا
LJ0013|سینڈو نے حسب عادت میری تعریفوں کے پل باندھنے شروع کر دیے|سینڈو نے حسب عادت میری تعریفوں کے پل باندھنے شروع کر دیے
LJ0014|بابو گوپی ناس تم ہندوستان کے نمبر ون رائٹر سے ہاتھ ملا رہے ہو|بابو گوپی ناس تم ہندوستان کے نمبر ون رائٹر سے ہاتھ ملا رہے ہو
LJ0015|لکھتا ہے تو دھڑن تختہ ہو جاتا ہے لوگوں کا|لکھتا ہے تو دھڑن تختہ ہو جاتا ہے لوگوں کا
LJ0016|ایسی ایسی کنٹینیوٹلی ملاتا ہے کہ طبیعت صاف ہو جاتی ہے|ایسی ایسی کنٹینیوٹلی ملاتا ہے کہ طبیعت صاف ہو جاتی ہے
LJ0017|پچھلے دنوں وہ کیا چٹکلا لکھا تھا اپنے منٹو صاحب|پچھلے دنوں وہ کیا چٹکلا لکھا تھا اپنے منٹو صاحب
LJ0018|مس خرشید نے کار خریدی|مس خرشید نے کار خریدی
LJ0019|اللہ بڑا کارساز ہے|اللہ بڑا کارساز ہے
LJ0020|کیوں بابو گو پینات|کیوں بابو گو پینات
LJ0021|ہے نا انٹی کی پینٹی پو|ہے نا انٹی کی پینٹی پو
LJ0022|عبد الرحیم سینڈو کے باتیں کرنے کا انداز بلکل نرالا تھا|عبد الرحیم سینڈو کے باتیں کرنے کا انداز بلکل نرالا تھا
LJ0023|کنٹی نیوٹلی دھڑن تختہ اور انٹی کی پینٹی پو|کنٹی نیوٹلی دھڑن تختہ اور انٹی کی پینٹی پو
LJ0024|ایسے الفاظ اس کی اپنی اخترار تھے جن کو وہ|ایسے الفاظ اس کی اپنی اخترار تھے جن کو وہ
LJ0025|گفتگو میں بلا تقلف استعمال کرتا تھا|گفتگو میں بلا تقلف استعمال کرتا تھا
LJ0026|میرا تعرف کرانے کے بعد وہ بابو گوپی ناس کی طرف متوجہ ہوا|میرا تعرف کرانے کے بعد وہ بابو گوپی ناس کی طرف متوجہ ہوا
LJ0027|جو بہت مروب نظر آتا تھا|جو بہت مروب نظر آتا تھا
LJ0028|آپ ہیں بابو گوپی ناس بڑے خانہ خراب لاہور سے جھک مارتے مارتے بمبئی تشریف|آپ ہیں بابو گوپی ناس بڑے خانہ خراب لاہور سے جھک مارتے مارتے بمبئی تشریف
LJ0029|آئے ہیں|آئے ہیں
LJ0030|ساتھ میں کوہکاف کی پری ہے|ساتھ میں کوہکاف کی پری ہے
LJ0031|بابو گوپینات مسکرائیہ|بابو گوپینات مسکرائیہ
LJ0032|عبد الرحیم سینڈو نے تارف کو ناکافی سمجھ کر کہا|عبد الرحیم سینڈو نے تارف کو ناکافی سمجھ کر کہا
LJ0033|نمبر ون بے وقوف ہو سکتا ہے تو وہ آپ ہیں|نمبر ون بے وقوف ہو سکتا ہے تو وہ آپ ہیں
LJ0034|لوگ ان کے مسکہ لگا لگا کر روپیہ بٹو رتے ہیں|لوگ ان کے مسکہ لگا لگا کر روپیہ بٹو رتے ہیں
LJ0035|میں صرف باتیں کر کے ان سے ہر روز پولسن بٹر کے دو پیکٹ وصول کرتا ہوں|میں صرف باتیں کر کے ان سے ہر روز پولسن بٹر کے دو پیکٹ وصول کرتا ہوں
LJ0036|بس منٹو صاحب یہ سمجھ لیجئے کہ بڑے انٹی فلوجسٹن قسم کے آدمی ہیں|بس منٹو صاحب یہ سمجھ لیجئے کہ بڑے انٹی فلوجسٹن قسم کے آدمی ہیں
LJ0037|آپ آج شام کو ان کے فلیٹ پر ضرور تشریف لائیے|آپ آج شام کو ان کے فلیٹ پر ضرور تشریف لائیے
